,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK
259457,4050343300,4050081200,4050081300,1,107,000,-,대림4길,0,0,0,50,0,0,0,0,92.67996373496,20230519,,,
259508,4050005105,4050002404,4050002600,3,106,000,1131,516로,0,0,0,60,0,0,0,0,658.34400768125,20230519,,,
259527,4050003802,4050001102,4050002501,1,106,000,1139,1100로,0,0,0,60,0,0,0,0,1120.57666388073,20230519,,,
259545,4050494100,4050171600,4050171300,1,106,000,1135,평화로,1,0,1,40,0,0,0,0,196.086603864435,20230519,,,
259825,4060102300,4060033400,4060033500,1,107,000,-,동홍남로,0,0,0,40,0,0,0,0,63.747582148961,20230519,,,
260062,4050078100,4050028600,4050029100,1,107,000,-,정존3길,0,0,0,40,0,0,0,0,57.939224634146,20230519,,,
260067,4050475400,4050192600,4050189000,1,106,000,1112,비자림로,0,0,0,60,0,0,0,0,2886.85976252581,20230519,,,
260071,4060031602,4060015302,4060015300,1,107,000,-,솔동산로22번길,0,0,0,50,0,0,0,0,151.647567396304,20230519,,,
260072,4060069400,4060031200,4060032300,1,107,000,-,동홍중앙로66번길,0,0,0,50,0,0,0,0,87.932083358838,20230519,,,
260133,4060500300,4060145100,4060144200,1,107,000,-,녹산로,0,0,0,60,0,0,0,0,590.619247325556,20230519,,,
260292,4060222900,4060000805,4060073400,1,107,000,-,도순북로,0,0,0,50,0,0,0,0,416.535013306195,20230519,,,
260293,4060269800,4060085500,4060085300,1,107,000,-,신천서로,0,0,0,40,0,0,0,0,66.39994888602,20230519,,,
260295,4060328400,4060092600,4060092300,1,107,000,-,일주서로3000번길,0,0,0,50,0,0,0,0,200.198861685426,20230519,,,
260296,4060337400,4060087800,4060088400,1,107,000,-,도원남로,0,0,0,50,0,0,0,0,1231.02449545882,20230519,,,
260298,4060463000,4060158400,4060163200,1,107,000,-,가시로,0,0,0,50,0,0,0,0,922.26966197085,20230519,,,
260492,4050612300,4050192100,4050192000,1,107,000,-,동복로,0,0,0,50,0,0,0,0,185.358038819924,20230519,,,
260746,4060333500,4060128600,4060129000,2,106,000,1132,일주동로,0,0,0,50,0,0,0,0,460.984117227137,20230519,,,
260763,4050299800,4050085000,4050084900,1,107,000,-,노형12길,0,0,0,50,0,0,0,0,62.267908296576,20230519,,,
260767,4050537500,4050169500,4050169400,2,107,003,-,애조로,0,0,0,80,0,0,0,0,48.568917664042,20230519,,,
260771,4060028900,4060029900,4060031300,2,107,000,-,신서귀로,0,0,0,30,0,0,0,0,88.28388630555,20230519,,,
260874,4050622201,4050209901,4050210101,1,107,000,-,원노형2길,0,0,0,30,0,0,0,0,120.207457993379,20230519,,,
261051,4060025200,4060023100,4060017800,1,107,000,-,대포중앙로,0,0,0,50,0,0,0,0,684.244524197609,20230519,,,
261073,4050542000,4050160700,4050162200,2,106,000,1132,일주서로,0,0,0,60,0,0,0,0,742.141735489196,20230519,,,
261319,4050419800,4050157000,4050157100,1,106,000,1135,평화로,1,0,1,40,0,0,0,0,254.051008729582,20230519,,,
261404,4060040800,4060025000,4060029400,2,107,000,-,중문관광로,0,0,0,40,0,0,0,0,327.354605324758,20230519,,,
261410,4060052000,4060044400,4060045000,1,107,000,-,상예로,0,0,0,50,0,0,0,0,634.250840850966,20230519,,,
261411,4060067000,4060026300,4060022100,1,107,000,-,중문관광로72번길,0,0,0,50,0,0,0,0,505.988928519082,20230519,,,
261412,4060079800,4060032100,4060030500,1,107,000,-,동홍중앙로66번길,0,0,0,50,0,0,0,0,118.517176781608,20230519,,,
261696,4050074400,4050028400,4050027500,1,107,000,-,수덕3길,0,0,0,40,0,0,0,0,95.588426311981,20230519,,,
261697,4050091902,4050032301,4050032300,3,107,000,-,연북로,0,0,0,70,0,0,0,0,130.69691018046,20230519,,,
261699,4050096600,4050034900,4050033700,1,107,000,-,정존15길,0,0,0,40,0,0,0,0,103.861560158541,20230519,,,
261702,4050109500,4050037800,4050037600,1,107,000,-,우정로8길,0,0,0,50,0,0,0,0,392.907994990915,20230519,,,
261703,4050139300,4050046400,4050047000,1,107,000,-,고산동산5길,0,0,0,30,0,0,0,0,60.508678596123,20230519,,,
261704,4050141200,4050048700,4050046900,2,107,000,-,남광로,0,0,0,50,0,0,0,0,362.138895883865,20230519,,,
261712,4060014602,4060006602,4060006601,2,106,000,1136,중산간동로,0,0,0,50,0,0,0,0,165.562781668025,20230519,,,
261713,4060021500,4060010400,4060009800,1,106,000,1115,산록남로,0,0,0,60,0,0,0,0,797.740644588161,20230519,,,
261724,4060021000,4060010000,4060009900,1,106,000,1115,산록남로,0,0,0,60,0,0,0,0,190.573528430646,20230519,,,
261730,4060059401,4060028400,4060022401,2,107,000,-,태평로,0,0,0,30,0,0,0,0,113.714702882954,20230519,,,
261731,4060083100,4060024300,4060025700,1,107,000,-,문부로11번길,0,0,0,50,0,0,0,0,60.883001399762,20230519,,,
261732,4060090901,4060039000,4060022301,1,107,000,-,쇠소깍로,0,0,0,50,0,0,0,0,199.134293800446,20230519,,,
261733,4060093500,4060033800,4060033700,1,107,000,-,동홍남로,0,0,0,40,0,0,0,0,68.691493423812,20230519,,,
261734,4060091002,4060022301,4060039000,1,107,000,-,쇠소깍로,0,0,0,50,0,0,0,0,202.535460203569,20230519,,,
261745,4060110100,4060040000,4060038800,1,107,000,-,동홍중앙로90번길,0,0,0,50,0,0,0,0,44.995281294706,20230519,,,
261746,4060108600,4060040700,4060040900,1,107,000,-,동홍북로,0,0,0,30,0,0,0,0,135.554975545225,20230519,,,
261747,4060106300,4060031800,4060030900,1,107,000,-,동홍남로82번길,0,0,0,50,0,0,0,0,66.66690660885,20230519,,,
261749,4060125400,4060011100,4060122500,1,107,000,-,하례광장로,0,0,0,50,0,0,0,0,108.12735673935,20230519,,,
261750,4060134703,4060063400,4060063700,1,107,000,-,서호북로,0,0,0,30,0,0,0,0,213.443234187139,20230519,,,
261751,4060135500,4060041800,4060041200,1,107,000,-,신서귀로76번길,0,0,0,30,0,0,0,0,64.942281661232,20230519,,,
261752,4060143202,4060020003,4060020000,1,107,000,-,중정로,0,0,0,50,0,0,0,0,80.058941869222,20230519,,,
