,Id,NODE_TYPE,NODE_NAME,TURN_P,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,latitude,longitude
177857,4060158700,103,속성변화점,0,20230519,,,,33.30673039721632,126.79669132419454
177858,4060161100,101,성읍리3294,0,20230519,,,,33.3943729704052,126.80097882227022
177859,4060161400,104,성읍교북측,0,20230519,,,,33.39531104485071,126.80114809804346
177860,4060162200,101,표선샷시스텐,0,20230519,,,,33.39245788793034,126.80224369582625
177861,4060169000,101,당포식당,0,20230519,,,,33.325400355580626,126.83802635195084
177862,4060176800,101,온평리1680-4,0,20230519,,,,33.41411977453511,126.8962551018885
177863,4060179800,101,해녀탈의실,0,20230519,,,,33.410625862564814,126.9081330392376
177864,4060184100,101,감귤창고,0,20230519,,,,33.45021527464074,126.92077136478618
186382,4050065800,101,도련사거리,1,20230519,,,,33.515016616499864,126.58887976178288
186429,4050132300,101,GS25,0,20230519,,,,33.41744957154941,126.26295268050323
187153,4050111900,101,도련이동2868-1,0,20230519,,,,33.515468813774575,126.59181514380958
187154,4050112600,102,삼양일동2681-23,0,20230519,,,,33.532025370136886,126.60297658491947
187155,4050112900,102,함덕리833-1,0,20230519,,,,33.532225618287086,126.6676085184602
187156,4050113600,102,북촌리941-15,0,20230519,,,,33.53594199944052,126.69708095898712
187163,4050168500,101,고성리938,0,20230519,,,,33.43379415308965,126.42043464566325
187164,4050169500,104,광삼교동측,0,20230519,,,,33.472525119263025,126.42489016305215
187165,4050169600,101,고성리151,0,20230519,,,,33.43774362245557,126.42566268991042
187166,4050203800,101,구좌파출소,0,20230519,,,,33.52325081389801,126.85648872263526
187167,4060000300,101,월드컵경기장,1,20230519,,,,33.24958273389959,126.50787374627492
187168,4060004000,101,신효베스트마을,1,20230519,,,,33.2606651213944,126.61277679609874
187169,4060006300,101,색달교차로,0,20230519,,,,33.26227411555696,126.42548254201834
187170,4060006604,104,동홍교동측,0,20230519,,,,33.265430568080575,126.56513351413535
187171,4060006605,101,서홍동217-2,0,20230519,,,,33.26558694579118,126.5560267076353
187172,4060073800,102,강정동3752-5,0,20230519,,,,33.262546173518054,126.48276347493788
187173,4060074100,101,강정동5442-3,0,20230519,,,,33.235965719807574,126.47322694145498
187174,4060075100,102,서호동1613-5,0,20230519,,,,33.259588293935316,126.51537318999912
187348,4050002701,104,광령교서측,0,20230519,,,,33.46053732352645,126.44759359520017
187349,4050003302,104,한북교동측,0,20230519,,,,33.46690655342486,126.51651607383813
187350,4050128600,101,월림앞교차로,0,20230519,,,,33.351425584941566,126.25567860434548
187351,4050129200,101,저지치안센터,0,20230519,,,,33.335314991457864,126.2567715429005
187352,4050129500,102,한림항출하신고소,0,20230519,,,,33.411994079794425,126.25657928233315
187369,4050163300,103,속성변화점,0,20230519,,,,33.481985774440616,126.40099378349993
187370,4050164600,104,미수교서측,0,20230519,,,,33.4820716843096,126.4057999223171
187371,4050165600,101,유수암리1023-1,1,20230519,,,,33.424427908499304,126.4093957822671
187372,4050179600,103,속성변화점,0,20230519,,,,33.475982259993046,126.6555366369565
187373,4050181200,101,지산이엔지,0,20230519,,,,33.45633814769368,126.66244923032997
187374,4060015302,101,서귀동598-4,0,20230519,,,,33.24369100321284,126.56260356950361
187375,4060015501,101,상예동1442-9,0,20230519,,,,33.250030951373105,126.3942837157045
187376,4060093000,101,좌기동마을회관앞,0,20230519,,,,33.27402413310282,126.2329955216033
187377,4060093200,101,무릉리616-23,1,20230519,,,,33.27504418342931,126.23343957744476
187378,4060112900,101,화순리2028-1,0,20230519,,,,33.26034531550518,126.32889251304911
187379,4060113100,101,화순리2122,0,20230519,,,,33.25337979790624,126.32916733623883
187380,4060114500,101,화순리1011-1,0,20230519,,,,33.24432931164308,126.3320071144703
187389,4060145200,101,남원읍사무소,0,20230519,,,,33.279461238190166,126.72026897008416
187390,4060145300,101,태평양수산,0,20230519,,,,33.278734414585465,126.72050756462856
187391,4060165700,102,하천리1120-1,0,20230519,,,,33.34332462587588,126.82767046948695
187392,4060165900,101,미풍해장국,0,20230519,,,,33.326024156605136,126.82846849255253
187393,4060166200,101,남제주카센터,0,20230519,,,,33.32714927735088,126.82999265182877
187394,4060171600,101,새달콤유화,0,20230519,,,,33.34523965542024,126.85011318183163
187395,4060172400,103,속성변화점,0,20230519,,,,33.35006971076167,126.85591038742808
189296,4050002201,101,아라일동4-39,0,20230519,,,,33.445577614809295,126.55858221342731
189297,4050004012,101,영평동2796,0,20230519,,,,33.47875693741505,126.56158862283993
189298,4050005200,101,신제주초등학교입구교차로,1,20230519,,,,33.48358858527531,126.4963679485629
189299,4050007703,101,월평동968-4,0,20230519,,,,33.46983524269339,126.57331178028693
189300,4050009001,103,속성변화점,0,20230519,,,,33.49357102330279,126.480783323833
189301,4050010503,101,S-Oil도농,0,20230519,,,,33.49419339760802,126.4375540114789
189302,4050010700,101,금천당,1,20230519,,,,33.49523927234716,126.53312313588637
189303,4050010801,101,SK주유소삼화엔크린,0,20230519,,,,33.49461995973379,126.4633143233722
189304,4050011000,101,이호카센터,0,20230519,,,,33.49526871010224,126.45994804323098
189305,4050014600,101,화북초교삼거리,1,20230519,,,,33.51814477233167,126.56296410451382
189306,4050016200,102,해안동22-2,0,20230519,,,,33.44642480367041,126.48146423010594
189307,4050016700,101,생물자원산업화지원센터,0,20230519,,,,33.4480601707116,126.55864541548138
